"year", "county_fips", "county_name", "cadidatevotes", "totalvotes", "party"
2000,1001.0,AUTAUGA,11993,17208,REPUBLICAN
2000,1003.0,BALDWIN,40872,56480,REPUBLICAN
2000,1005.0,BARBOUR,5188,10395,DEMOCRAT
2000,1007.0,BIBB,4273,7101,REPUBLICAN
2000,1009.0,BLOUNT,12667,17973,REPUBLICAN
2000,1011.0,BULLOCK,3395,4904,DEMOCRAT
2000,1013.0,BUTLER,4127,7803,REPUBLICAN
2000,1015.0,CALHOUN,22306,38909,REPUBLICAN
2000,1017.0,CHAMBERS,6037,11834,REPUBLICAN
2000,1019.0,CHEROKEE,4154,7823,REPUBLICAN
2000,1021.0,CHILTON,10066,15092,REPUBLICAN
2000,1023.0,CHOCTAW,3707,7374,DEMOCRAT
2000,1025.0,CLARKE,5988,10752,REPUBLICAN
2000,1027.0,CLAY,3719,5883,REPUBLICAN
2000,1029.0,CLEBURNE,3333,5092,REPUBLICAN
2000,1031.0,COFFEE,9938,15434,REPUBLICAN
2000,1033.0,COLBERT,10543,21532,DEMOCRAT
2000,1035.0,CONECUH,2783,5551,DEMOCRAT
2000,1037.0,COOSA,2382,4567,REPUBLICAN
2000,1039.0,COVINGTON,8961,13613,REPUBLICAN
2000,1041.0,CRENSHAW,2793,4795,REPUBLICAN
2000,1043.0,CULLMAN,19157,29525,REPUBLICAN
2000,1045.0,DALE,10593,15806,REPUBLICAN
2000,1047.0,DALLAS,10967,18464,DEMOCRAT
2000,1049.0,DEKALB,12827,20285,REPUBLICAN
2000,1051.0,ELMORE,16777,23804,REPUBLICAN
2000,1053.0,ESCAMBIA,6975,11660,REPUBLICAN
2000,1055.0,ETOWAH,21087,39348,REPUBLICAN
2000,1057.0,FAYETTE,4582,7808,REPUBLICAN
2000,1059.0,FRANKLIN,6119,11103,REPUBLICAN
2000,1061.0,GENEVA,6588,9559,REPUBLICAN
2000,1063.0,GREENE,3504,4396,DEMOCRAT
2000,1065.0,HALE,4652,7731,DEMOCRAT
2000,1067.0,HENRY,4054,6932,REPUBLICAN
2000,1069.0,HOUSTON,22150,32057,REPUBLICAN
2000,1071.0,JACKSON,9066,17906,DEMOCRAT
2000,1073.0,JEFFERSON,138491,273763,REPUBLICAN
2000,1075.0,LAMAR,4470,7249,REPUBLICAN
2000,1077.0,LAUDERDALE,17478,32137,REPUBLICAN
2000,1079.0,LAWRENCE,6296,12185,DEMOCRAT
2000,1081.0,LEE,22433,38264,REPUBLICAN
2000,1083.0,LIMESTONE,14204,23634,REPUBLICAN
2000,1085.0,LOWNDES,4557,6243,DEMOCRAT
2000,1087.0,MACON,7665,8831,DEMOCRAT
2000,1089.0,MADISON,62151,113318,REPUBLICAN
2000,1091.0,MARENGO,4841,9608,DEMOCRAT
2000,1093.0,MARION,6910,11756,REPUBLICAN
2000,1095.0,MARSHALL,17084,27989,REPUBLICAN
2000,1097.0,MOBILE,78162,139745,REPUBLICAN
2000,1099.0,MONROE,5153,8951,REPUBLICAN
2000,1101.0,MONTGOMERY,40371,80328,DEMOCRAT
2000,1103.0,MORGAN,25774,42681,REPUBLICAN
2000,1105.0,PERRY,4020,5787,DEMOCRAT
2000,1107.0,PICKENS,4306,8540,REPUBLICAN
2000,1109.0,PIKE,6058,10544,REPUBLICAN
2000,1111.0,RANDOLPH,4666,7919,REPUBLICAN
2000,1113.0,RUSSELL,8396,14775,DEMOCRAT
2000,1115.0,ST. CLAIR,17117,24090,REPUBLICAN
2000,1117.0,SHELBY,47651,62128,REPUBLICAN
2000,1119.0,SUMTER,4415,6088,DEMOCRAT
2000,1121.0,TALLADEGA,13807,25451,REPUBLICAN
2000,1123.0,TALLAPOOSA,9805,16253,REPUBLICAN
2000,1125.0,TUSCALOOSA,34003,60114,REPUBLICAN
2000,1127.0,WALKER,13486,25641,REPUBLICAN
2000,1129.0,WASHINGTON,4117,7596,REPUBLICAN
2000,1131.0,WILCOX,3444,5126,DEMOCRAT
2000,1133.0,WINSTON,6413,9318,REPUBLICAN
2000,4001.0,APACHE,13025,19456,DEMOCRAT
2000,4003.0,COCHISE,18180,33241,REPUBLICAN
2000,4005.0,COCONINO,20280,40883,DEMOCRAT
2000,4007.0,GILA,9158,17736,REPUBLICAN
2000,4009.0,GRAHAM,6007,9664,REPUBLICAN
2000,4011.0,GREENLEE,1619,2960,REPUBLICAN
2000,4012.0,LA PAZ,2543,4483,REPUBLICAN
2000,4013.0,MARICOPA,479967,901699,REPUBLICAN
2000,4015.0,MOHAVE,24386,44141,REPUBLICAN
2000,4017.0,NAVAJO,12386,25147,REPUBLICAN
2000,4019.0,PIMA,147688,287640,DEMOCRAT
2000,4021.0,PINAL,20122,41290,REPUBLICAN
2000,4023.0,SANTA CRUZ,5233,8893,DEMOCRAT
2000,4025.0,YAVAPAI,40144,68228,REPUBLICAN
2000,4027.0,YUMA,15708,28652,REPUBLICAN
2000,5001.0,ARKANSAS,3353,6372,REPUBLICAN
2000,5003.0,ASHLEY,4253,8271,DEMOCRAT
2000,5005.0,BAXTER,9538,16708,REPUBLICAN
2000,5007.0,BENTON,34838,53646,REPUBLICAN
2000,5009.0,BOONE,8569,13635,REPUBLICAN
2000,5011.0,BRADLEY,2122,3979,DEMOCRAT
2000,5013.0,CALHOUN,1128,2185,REPUBLICAN
2000,5015.0,CARROLL,5556,9590,REPUBLICAN
2000,5017.0,CHICOT,2820,4452,DEMOCRAT
2000,5019.0,CLARK,4661,8626,DEMOCRAT
2000,5021.0,CLAY,3527,5900,DEMOCRAT
2000,5023.0,CLEBURNE,5730,10207,REPUBLICAN
2000,5025.0,CLEVELAND,1678,3181,REPUBLICAN
2000,5027.0,COLUMBIA,5018,9307,REPUBLICAN
2000,5029.0,CONWAY,3545,7234,REPUBLICAN
2000,5031.0,CRAIGHEAD,12376,25157,DEMOCRAT
2000,5033.0,CRAWFORD,10804,17625,REPUBLICAN
2000,5035.0,CRITTENDEN,7224,13234,DEMOCRAT
2000,5037.0,CROSS,3096,6215,DEMOCRAT
2000,5039.0,DALLAS,1710,3325,DEMOCRAT
2000,5041.0,DESHA,2776,4495,DEMOCRAT
2000,5043.0,DREW,3060,5922,DEMOCRAT
2000,5045.0,FAULKNER,16055,29216,REPUBLICAN
