,County,Population,White Population,% White,Black Population,% Black,Asian Population,% Asian,Hispanic Population,% Hispanic
0,Colorado,5773714,4082927,0.7071578190398763,234828,0.040671914126678255,199827,0.03460978496683417,1263390,0.21881755833420222
1,"Autauga County, Alabama",58805,42160,0.7169458379389507,11445,0.19462630728679534,881,0.014981719241561092,2117,0.036000340107133745
2,"Baldwin County, Alabama",231767,189399,0.8171957181134502,18217,0.07860049101036817,2067,0.008918439639810672,12686,0.05473600642024102
3,"Barbour County, Alabama",25223,11317,0.4486777940768346,11933,0.47309994845973913,117,0.004638623478571145,1510,0.05986599532173017
4,"Bibb County, Alabama",22293,16555,0.7426097878257749,4413,0.1979545148701386,32,0.0014354281613062397,740,0.03319427623020679
5,"Blount County, Alabama",59134,50663,0.8567490783643927,845,0.014289579598877127,178,0.003010112625562282,5771,0.09759190989955017
6,"Bullock County, Alabama",10357,2320,0.22400308969778893,7396,0.7141064014676064,9,0.0008689775031379744,503,0.04856618711982234
7,"Butler County, Alabama",19051,9752,0.5118891396777072,8430,0.442496456878904,143,0.007506167655241195,260,0.01364757755498399
8,"Calhoun County, Alabama",116441,80586,0.692075815219725,25559,0.21950172190207917,1190,0.010219767951151227,5010,0.04302608187837617
9,"Chambers County, Alabama",34772,18850,0.5421028413666168,13512,0.388588519498447,401,0.011532267341539169,1237,0.03557460025307719
10,"Cherokee County, Alabama",24971,22707,0.9093348284009451,987,0.03952584998598374,56,0.0022426014176444675,400,0.01601858155460334
11,"Chilton County, Alabama",45014,35527,0.7892433465144177,4067,0.09034966899186919,181,0.004020971253387835,4418,0.09814724307993068
12,"Choctaw County, Alabama",12665,7074,0.5585471772601658,5232,0.4131069877615476,22,0.0017370706671930517,113,0.008922226608764312
13,"Clarke County, Alabama",23087,12029,0.5210291506042362,10255,0.44418937064148656,94,0.0040715554207995846,206,0.00892277039026292
14,"Clay County, Alabama",14236,11375,0.7990306265805002,1963,0.1378898567013206,48,0.0033717336330429896,449,0.031539758359089634
15,"Cleburne County, Alabama",15056,13819,0.9178400637619554,466,0.030951115834218917,21,0.0013947927736450586,284,0.018862911795961744
16,"Coffee County, Alabama",53465,37080,0.6935378284859254,8760,0.16384550640606005,909,0.01700177686336856,4887,0.09140559244365473
17,"Colbert County, Alabama",57227,43631,0.7624198367903262,9286,0.16226606322190573,432,0.007548884267915494,1732,0.030265434148216752
18,"Conecuh County, Alabama",11597,5912,0.5097870138829007,5104,0.44011382254031217,40,0.0034491678882469603,256,0.022074674484780548
19,"Coosa County, Alabama",10387,6824,0.6569750649850775,3008,0.2895927601809955,8,0.0007701935111196688,201,0.01935111196688168
20,"Covington County, Alabama",37570,30877,0.8218525419217461,4607,0.12262443438914027,240,0.006388075592227841,654,0.01740750598882087
21,"Crenshaw County, Alabama",13194,9388,0.7115355464605123,3103,0.2351826587842959,83,0.006290738214339851,187,0.014173108988934363
22,"Cullman County, Alabama",87866,79142,0.9007124485011268,937,0.01066396558395739,522,0.005940864498213188,4146,0.04718548699155532
23,"Dale County, Alabama",49326,33429,0.6777156063739205,10241,0.20761870007703848,671,0.013603373474435389,3254,0.06596926570165836
24,"Dallas County, Alabama",38462,10409,0.27063075243097084,26899,0.6993656076127086,146,0.0037959544485466176,296,0.007695907649108211
25,"DeKalb County, Alabama",71608,56420,0.7879007932074629,1046,0.014607306446207127,253,0.0035331247905261982,11744,0.16400402189699476
26,"Elmore County, Alabama",87977,63139,0.71767621082783,18211,0.20699728338088363,674,0.007661093240278709,2793,0.03174693385771281
27,"Escambia County, Alabama",36757,22202,0.6040210028021873,10991,0.2990178741464211,114,0.0031014500639334006,751,0.020431482438719156
28,"Etowah County, Alabama",103436,78584,0.7597354886113152,15146,0.14642870954019876,927,0.008962063498201786,4895,0.047323949108627555
29,"Fayette County, Alabama",16321,13666,0.8373261442313584,1736,0.10636603149316831,51,0.0031248085288891614,396,0.02426321916549231
